state,year,Geogra-phical Area-(Col.3),Reporting area for land utilisationstatistics (col.4+7+11+14+15)-(Col.4),Forests-(Col.5),Not available for cultivation-Area under non-agri-cultural uses-(Col.6),Not available for cultivation-Barren & uncultur-able land-(Col.7),Not available for cultivation-Total (Col.6+Col.7)-(Col8),Other uncultivated land excluding-Fallow Land-Permanent pastures & other grazing lands-(Col.9),Other uncultivated land excluding-Fallow Land-Land under misc. tree crops & groves (not incl. in net area sown)-(Col.10),Other uncultivated land excluding-Fallow Land-Culturable waste land-(Col.11),Fallow Land-Total (Col.9 to Col.11)-(Col.12),Fallow Lands-Fallow lands other than current fallows-(Col.13),Fallow Lands-Current fallows-(Col.14),Fallow Lands-Total(Col.13+Col.14)-(Col.15),Net area Sown-(Col.16),Total Cropped Area-(Col.17),Area sown more than once (col.17-Col.16)-(Col.18),Agri. Land/Culti-vable land/Cultur-able land/Arable land (Col.10+Col.11+Col.12+Col.13)-(Col.19),Cultivated land (Col.14+Col.15)-(Col.20),Un-cultivable land (Col.4-Col.18)-(Col.21),Un-cultivated land (Col.4-Col.20)-(Col.22),production
Tripura,2011,1049,1049,629.0,142,,142,2.0,14.0,4.0,19.0,2.0,2.0,3.0,255,350,94.0,276,257,773,792,790439.0
Tripura,2012,1049,1049,629.0,143,,143,2.0,13.0,3.0,18.0,2.0,1.0,3.0,255,371,115.0,275,257,775,792,785921.0
Tripura,2013,1049,1049,629.0,144,,144,2.0,12.0,3.0,17.0,2.0,1.0,3.0,255,368,113.0,274,257,776,793,794580.0
Tripura,2014,1049,1049,629.0,145,,145,1.0,12.0,3.0,16.0,2.0,2.0,3.0,255,383,128.0,273,257,776,793,822366.0
Uttarakhand,2004,5348,5668,3465.0,152,311.0,463,229.0,251.0,386.0,866.0,71.0,43.0,114.0,761,1222,461.0,1511,804,4157,4865,8329141.0
Uttarakhand,2005,5348,5670,3465.0,152,312.0,464,229.0,249.0,386.0,864.0,68.0,42.0,110.0,767,1235,468.0,1512,808,4158,4862,8490010.0
Uttarakhand,2006,5348,5666,3465.0,154,313.0,467,230.0,249.0,384.0,863.0,62.0,42.0,104.0,768,1212,445.0,1504,809,4162,4856,9204957.0
Uttarakhand,2007,5348,5667,3465.0,161,312.0,472,220.0,269.0,367.0,856.0,64.0,44.0,108.0,765,1210,445.0,1509,809,4158,4858,9496947.0
Uttarakhand,2008,5348,5673,3484.0,217,224.0,441,199.0,384.0,302.0,885.0,72.0,36.0,108.0,755,1187,432.0,1549,791,4123,4882,7565782.0
Uttarakhand,2009,5348,5673,3486.0,217,224.0,441,199.0,384.0,303.0,886.0,71.0,35.0,106.0,754,1193,439.0,1547,789,4126,4884,8048930.0
Uttarakhand,2010,5348,5672,3485.0,216,225.0,441,198.0,383.0,309.0,891.0,82.0,37.0,119.0,737,1166,430.0,1548,773,4124,4899,8210120.0
Uttarakhand,2011,5348,5673,3485.0,218,225.0,442,199.0,386.0,310.0,894.0,84.0,43.0,128.0,723,1170,447.0,1547,766,4126,4906,8359927.0
Uttarakhand,2012,5348,5673,3485.0,218,225.0,443,199.0,386.0,311.0,895.0,87.0,48.0,135.0,714,1132,418.0,1546,763,4126,4910,8368762.0
Uttarakhand,2013,5348,5673,3485.0,221,228.0,449,192.0,390.0,315.0,897.0,86.0,51.0,136.0,706,1124,418.0,1547,757,4126,4916,8035719.0
Uttarakhand,2014,5348,5992,3800.0,222,228.0,450,192.0,389.0,317.0,898.0,86.0,57.0,143.0,701,1099,398.0,1550,758,4442,5234,11873861.0
Uttar Pradesh,2004,24093,24201,1686.0,2594,548.0,3143,66.0,359.0,468.0,892.0,594.0,1137.0,1731.0,16750,25425,8675.0,19307,17887,4894,6315,171209682.0
Uttar Pradesh,2005,24093,24201,1688.0,2649,530.0,3178,64.0,344.0,454.0,862.0,574.0,1217.0,1791.0,16683,25524,8841.0,19272,17900,4930,6301,175419236.0
Uttar Pradesh,2006,24093,24201,1654.0,2700,515.0,3215,65.0,376.0,439.0,879.0,550.0,1270.0,1820.0,16633,25307,8674.0,19268,17903,4933,6298,187500450.0
Uttar Pradesh,2007,24093,24170,1657.0,2729,507.0,3236,64.0,373.0,440.0,877.0,542.0,1285.0,1827.0,16573,25415,8841.0,19213,17858,4958,6312,179403646.0
Uttar Pradesh,2008,24093,24170,1658.0,2761,507.0,3268,65.0,374.0,440.0,879.0,540.0,1408.0,1948.0,16417,25320,8903.0,19179,17825,4991,6345,168238722.0
Uttar Pradesh,2009,24093,24170,1662.0,2779,499.0,3278,65.0,365.0,437.0,867.0,539.0,1263.0,1802.0,16562,25471,8909.0,19166,17825,5005,6345,175526148.0
Uttar Pradesh,2010,24093,24170,1662.0,2801,494.0,3295,65.0,360.0,431.0,856.0,537.0,1232.0,1769.0,16589,25440,8851.0,19148,17821,5022,6350,182882131.0
Uttar Pradesh,2011,24093,24170,1658.0,2835,486.0,3321,66.0,354.0,426.0,846.0,538.0,1215.0,1753.0,16593,25615,9022.0,19126,17808,5045,6363,195007190.0
Uttar Pradesh,2012,24093,24170,1656.0,2893,457.0,3350,66.0,350.0,420.0,836.0,533.0,1173.0,1705.0,16623,25939,9316.0,19099,17796,5072,6375,205230988.0
Uttar Pradesh,2013,24093,24170,1658.0,2893,479.0,3371,66.0,350.0,423.0,839.0,537.0,1201.0,1739.0,16564,25821,9257.0,19075,17765,5095,6406,207615192.0
Uttar Pradesh,2014,24093,24170,1658.0,3027,469.0,3491,65.0,325.0,410.0,801.0,539.0,1135.0,1674.0,16546,25896,9350.0,18955,17681,5215,6489,199418844.0
West Bengal,2004,8875,8688,1171.0,1609,27.0,1636,5.0,58.0,34.0,97.0,22.0,333.0,355.0,5428,9661,4234.0,5876,5761,2812,2926,33186070.1
West Bengal,2005,8875,8687,1175.0,1674,26.0,1700,5.0,59.0,36.0,99.0,25.0,314.0,339.0,5374,9523,4149.0,5808,5688,2879,2999,33619655.0
West Bengal,2006,8875,8683,1175.0,1728,25.0,1753,6.0,63.0,43.0,111.0,30.0,319.0,349.0,5295,9533,4238.0,5749,5614,2934,3069,390769181.0
West Bengal,2007,8875,8684,1174.0,1733,21.0,1754,5.0,58.0,34.0,97.0,22.0,341.0,363.0,5296,9635,4339.0,5751,5637,2933,3047,392506558.0
West Bengal,2008,8875,8684,1174.0,1762,22.0,1783,6.0,61.0,33.0,100.0,20.0,311.0,331.0,5296,9752,4456.0,5721,5607,2963,3078,31166871.0
West Bengal,2009,8875,8684,1174.0,1793,21.0,1814,7.0,55.0,32.0,94.0,22.0,287.0,309.0,5294,9802,4507.0,5689,5581,2995,3103,40735290.0
West Bengal,2010,8875,8684,1174.0,1799,22.0,1820,6.0,55.0,31.0,92.0,20.0,323.0,342.0,5256,9530,4274.0,5684,5579,3000,3106,38308645.0
West Bengal,2011,8875,8684,1174.0,1823,17.0,1840,5.0,53.0,29.0,87.0,18.0,584.0,602.0,4981,8832,3851.0,5666,5565,3018,3119,36777774.0
West Bengal,2012,8875,8684,1174.0,1794,15.0,1810,4.0,52.0,31.0,86.0,18.0,399.0,417.0,5198,9353,4155.0,5697,5597,2987,3087,38918275.0
West Bengal,2013,8875,8684,1174.0,1822,13.0,1834,3.0,50.0,24.0,76.0,15.0,379.0,395.0,5205,9459,4254.0,5673,5584,3011,3100,37901281.0
West Bengal,2014,8875,8684,1174.0,1834,11.0,1846,2.0,49.0,18.0,69.0,12.0,349.0,362.0,5234,9618,4385.0,5662,5583,3022,3101,43584403.0
Chandigarh,2004,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,3455.0
Chandigarh,2005,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,3485.0
Chandigarh,2006,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,3318.0
Chandigarh,2007,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,3295.0
Chandigarh,2008,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,3195.0
Chandigarh,2009,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,3095.0
Chandigarh,2010,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,3109.0
Chandigarh,2011,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,0.0
Chandigarh,2012,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,0.0
Chandigarh,2013,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,0.0
Chandigarh,2014,11,7,0.0,5,,5,,0.0,,0.0,0.0,0.0,0.0,1,2,1.0,2,1,5,6,0.0
Puducherry,2004,48,49,,17,0.0,17,,1.0,4.0,5.0,2.0,3.0,6.0,21,37,17.0,31,24,17,25,28195796.0
Puducherry,2005,48,49,,17,0.0,17,0.0,1.0,4.0,5.0,3.0,3.0,5.0,21,39,18.0,31,24,17,25,29781102.0
Puducherry,2006,48,49,,18,0.0,18,,1.0,4.0,5.0,3.0,2.0,5.0,21,36,16.0,31,23,18,26,470312.0
Puducherry,2007,48,49,,18,0.0,18,,1.0,4.0,5.0,3.0,2.0,5.0,20,36,15.0,31,23,18,26,26923533.0
Puducherry,2008,48,49,,18,0.0,18,,1.0,4.0,6.0,2.0,3.0,5.0,20,35,15.0,30,22,18,26,30956349.0
Puducherry,2009,48,49,,18,0.0,18,,1.0,4.0,6.0,2.0,3.0,5.0,19,33,14.0,30,22,18,26,31415650.0
Puducherry,2010,48,49,,18,0.0,19,,1.0,4.0,6.0,3.0,3.0,6.0,19,32,13.0,30,22,19,27,24810131.0
Puducherry,2011,48,49,,19,0.0,19,,1.0,5.0,6.0,2.0,3.0,6.0,19,31,13.0,30,22,19,27,17655295.0
Puducherry,2012,48,49,0.0,18,0.0,18,,1.0,5.0,6.0,2.0,4.0,6.0,18,27,9.0,30,22,19,27,20687659.0
Puducherry,2013,48,49,0.0,19,0.0,19,,1.0,5.0,6.0,2.0,5.0,8.0,16,26,10.0,30,21,19,27,17018964.0
Puducherry,2014,48,49,0.0,19,0.0,19,,1.0,5.0,6.0,3.0,6.0,8.0,15,25,10.0,30,21,19,27,25590342.0
